,link_id,0:00,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45
0,,0.772222,0.573333,0.513333,0.518889,0.47,0.514444,0.402222,0.416667,0.435556,0.468889,0.453333,0.498889,0.492222,0.407778,0.322222,0.265556,0.402222,0.537778,0.585556,0.642222,0.697778,0.807778,1.14667,1.39333,1.57889,1.96889,2.45556,2.94,2.91,3.04778,3.17222,3.15111,3.31667,3.29111,3.29778,3.30222,3.16889,3.15556,3.16444,2.68778,2.73667,2.8,2.91444,2.90667,2.87778,2.91667,2.85444,2.85889,2.86444,2.84333,2.81444,2.73222,2.74222,2.96222,3.03222,3.08111,3.10889,3.02,3.06333,2.98556,3.02444,3.19889,3.42778,3.44556,3.39667,3.51111,3.6,3.59,3.69333,3.84556,3.91222,4.06556,4.11667,3.85333,3.75444,3.41111,3.27,3.35111,3.01,3.03444,2.84778,2.65222,2.38111,2.46778,2.20444,1.91222,1.72333,1.57,1.43667,1.36444,1.27,1.17778,1.10778,1.01667,0.952222,0.9
1,,0.772222,0.572222,0.513333,0.521111,0.467778,0.514444,0.403333,0.414444,0.436667,0.47,0.452222,0.498889,0.493333,0.412222,0.314444,0.265556,0.403333,0.54,0.585556,0.642222,0.698889,0.808889,1.14444,1.39444,1.58111,1.97333,2.46222,2.93556,2.91222,3.05111,3.17556,3.14333,3.32444,3.28778,3.29667,3.30333,3.17,3.15889,3.15889,2.68444,2.73778,2.80222,2.91444,2.90556,2.88,2.91444,2.85667,2.85444,2.87,2.84333,2.81,2.73556,2.74111,2.96444,3.03111,3.07889,3.10889,3.02444,3.05667,2.98778,3.02222,3.20556,3.43444,3.43556,3.40333,3.51222,3.59667,3.58556,3.70333,3.85,3.91,4.07,4.11,3.85778,3.74667,3.40889,3.27,3.34222,3.01222,3.03556,2.84,2.65778,2.37667,2.46889,2.19778,1.92,1.71889,1.56778,1.43556,1.36222,1.27778,1.17333,1.10333,1.01889,0.953333,0.898889
2,,0.77,0.574444,0.513333,0.518889,0.471111,0.511111,0.405556,0.413333,0.436667,0.468889,0.452222,0.498889,0.494444,0.412222,0.314444,0.264444,0.404444,0.538889,0.587778,0.641111,0.697778,0.811111,1.14889,1.39,1.58333,1.97222,2.46778,2.93444,2.91444,3.05111,3.17556,3.14333,3.32667,3.28556,3.29889,3.30111,3.16889,3.15889,3.15778,2.68333,2.73778,2.80778,2.90667,2.91111,2.87667,2.91667,2.85444,2.85667,2.87111,2.84556,2.80333,2.73889,2.74,2.96556,3.02667,3.08556,3.11222,3.01778,3.05778,2.98778,3.02444,3.20333,3.43667,3.43444,3.4,3.52111,3.58778,3.58667,3.70778,3.85222,3.91222,4.07222,4.10333,3.85889,3.74333,3.41111,3.27444,3.32889,3.01333,3.04,2.83778,2.66,2.37333,2.46889,2.2,1.91667,1.71778,1.56889,1.43667,1.36,1.27444,1.17667,1.10333,1.02,0.95,0.9
3,,0.76,0.631111,0.525556,0.531111,0.522222,0.515556,0.466667,0.488889,0.474444,0.538889,0.578889,0.556667,0.581111,0.361111,0.31,0.255556,0.554444,0.587778,0.623333,0.69,0.554444,0.567778,0.968889,1.53778,1.83111,2.05222,2.68667,3.49444,3.41444,2.99333,3.53889,3.51556,3.52333,3.52,3.12667,3.49222,3.39333,3.04556,3.54778,2.66778,3.30111,3.39,3.22889,3.24556,3.33,3.21222,3.35667,3.22444,3.32111,3.31444,3.11333,3.21778,3.30667,3.31778,3.25556,3.3,3.22222,3.24,3.27333,3.21889,3.16111,3.28889,3.19111,3.22889,3.28222,3.33,3.19667,3.37333,3.26111,3.30556,3.27667,3.37333,2.88111,2.89667,2.81444,2.74889,2.74111,2.92333,2.83889,2.74778,2.47778,2.29556,2.33333,2.26333,1.94556,1.82889,1.59,1.33111,1.26889,1.18222,1.13667,1.10333,0.933333,0.896667,0.891111,0.796667
4,,0.755556,0.632222,0.528889,0.53,0.521111,0.512222,0.47,0.491111,0.474444,0.538889,0.576667,0.556667,0.583333,0.36,0.308889,0.256667,0.554444,0.586667,0.621111,0.693333,0.555556,0.566667,0.966667,1.53556,1.83333,2.04667,2.68444,3.45667,3.45,2.98333,3.51333,3.51556,3.52333,3.52,3.16444,3.45444,3.42889,3.03556,3.52222,2.70111,3.30111,3.38444,3.23333,3.24667,3.33222,3.20556,3.35667,3.22778,3.32333,3.31,3.11778,3.22,3.29889,3.31889,3.26,3.29333,3.22778,3.23667,3.27889,3.21333,3.16222,3.28556,3.19556,3.22333,3.28778,3.32667,3.20333,3.36667,3.27,3.29556,3.27556,3.37556,2.88556,2.89667,2.81778,2.75222,2.73667,2.92444,2.84333,2.74222,2.48444,2.29333,2.33667,2.26111,1.94444,1.82889,1.59667,1.32778,1.27222,1.18222,1.13889,1.10111,0.934444,0.895556,0.888889,0.801111
5,,0.76,0.632222,0.528889,0.535556,0.52,0.508889,0.466667,0.496667,0.471111,0.537778,0.583333,0.555556,0.578889,0.364444,0.307778,0.261111,0.547778,0.584444,0.618889,0.695556,0.554444,0.562222,0.957778,1.52667,1.82111,2.03333,2.62,3.32667,3.51333,2.94222,3.49111,3.51556,3.52444,3.51889,3.29556,3.32333,3.52,2.96333,3.50333,2.83778,3.19778,3.40222,3.26,3.21667,3.35222,3.19,3.37333,3.20556,3.32889,3.29333,3.19222,3.17444,3.28667,3.32,3.27556,3.26111,3.29111,3.2,3.29333,3.18667,3.20778,3.23,3.22667,3.20333,3.29111,3.30778,3.24667,3.31333,3.33,3.24444,3.31556,3.35778,2.96556,2.88444,2.82778,2.76889,2.73,2.91444,2.86222,2.72667,2.53333,2.29222,2.34333,2.26556,1.96333,1.82333,1.60778,1.33222,1.27778,1.18222,1.14444,1.10333,0.93,0.903333,0.888889,0.797778
6,,0.763333,0.631111,0.533333,0.535556,0.521111,0.506667,0.465556,0.493333,0.478889,0.533333,0.581111,0.562222,0.58,0.366667,0.307778,0.264444,0.531111,0.593333,0.617778,0.691111,0.558889,0.564444,0.936667,1.51556,1.82111,1.99889,2.55222,3.17,3.49778,3.04111,3.39222,3.51556,3.52444,3.51889,3.44444,3.18889,3.50556,3.06444,3.40222,3.02,3.07222,3.38667,3.32222,3.20667,3.32667,3.20111,3.35667,3.21444,3.32556,3.29111,3.25556,3.13667,3.27778,3.29889,3.30333,3.23556,3.34889,3.16444,3.29,3.18778,3.23444,3.19111,3.26444,3.18,3.27556,3.30556,3.29778,3.25333,3.35667,3.21111,3.34778,3.31556,3.09556,2.86,2.85444,2.78,2.71667,2.89444,2.88333,2.73778,2.56889,2.30444,2.34667,2.26889,1.98889,1.83444,1.61,1.33111,1.29111,1.17889,1.14889,1.11222,0.93,0.894444,0.9,0.793333
7,,0.758889,0.634444,0.525556,0.533333,0.518889,0.507778,0.471111,0.494444,0.47,0.544444,0.575556,0.555556,0.583333,0.36,0.307778,0.26,0.551111,0.584444,0.622222,0.695556,0.554444,0.566667,0.96,1.53222,1.82667,2.04444,2.66667,3.40556,3.48444,2.94889,3.51333,3.51556,3.52333,3.52,3.20556,3.41333,3.47222,2.99222,3.52222,2.74556,3.26778,3.39889,3.23333,3.24,3.33778,3.20111,3.36667,3.21778,3.32556,3.30111,3.14556,3.20111,3.29111,3.32667,3.26111,3.28333,3.24333,3.22667,3.28444,3.20778,3.18111,3.26,3.19889,3.22222,3.29889,3.31222,3.21667,3.34667,3.29222,3.27667,3.29333,3.36889,2.91444,2.89444,2.81222,2.76889,2.73333,2.92111,2.84889,2.73333,2.50333,2.29333,2.34111,2.26333,1.95111,1.83,1.60111,1.32667,1.27111,1.18333,1.14222,1.10222,0.932222,0.898889,0.887778,0.8
8,,0.713333,0.534444,0.474444,0.487778,0.434444,0.477778,0.375556,0.39,0.391111,0.432222,0.408889,0.463333,0.456667,0.386667,0.303333,0.26,0.357778,0.492222,0.538889,0.62,0.647778,0.768889,1.07,1.31778,1.47222,1.83889,2.30333,2.74889,2.71556,2.87889,3.03111,2.98222,3.13778,3.14111,3.12444,3.11556,3.00889,2.99556,2.95444,2.52556,2.53444,2.58111,2.70111,2.67778,2.68111,2.70667,2.63778,2.65889,2.62667,2.62333,2.59111,2.56222,2.54,2.74222,2.82778,2.85444,2.86556,2.80667,2.84667,2.73778,2.79556,3,3.16333,3.21667,3.17111,3.27,3.36778,3.35444,3.46889,3.61444,3.68111,3.81556,3.88889,3.65,3.53111,3.20222,3.09111,3.08667,2.78556,2.80222,2.67667,2.47444,2.22222,2.30333,2.05778,1.80333,1.58222,1.45111,1.32111,1.27222,1.18111,1.08889,1.03111,0.948889,0.893333,0.842222
9,,0.712222,0.535556,0.474444,0.487778,0.433333,0.477778,0.373333,0.391111,0.392222,0.434444,0.406667,0.464444,0.457778,0.384444,0.303333,0.262222,0.352222,0.493333,0.54,0.617778,0.647778,0.77,1.07,1.31111,1.47667,1.83444,2.30222,2.74667,2.71444,2.87556,3.03222,2.97889,3.13778,3.14333,3.12556,3.11667,3.00667,2.99667,2.95667,2.52667,2.53667,2.58111,2.69889,2.67444,2.67889,2.71111,2.63556,2.66111,2.63,2.61778,2.59333,2.56444,2.53778,2.74111,2.82889,2.85667,2.86,2.80889,2.84444,2.74444,2.79222,2.99778,3.16333,3.21556,3.16778,3.27222,3.36556,3.35556,3.46556,3.61,3.68556,3.81333,3.88778,3.65333,3.53,3.21556,3.08778,3.07889,2.79111,2.80556,2.67667,2.47778,2.22111,2.30111,2.06333,1.80111,1.58889,1.45333,1.31444,1.27,1.19,1.08667,1.03333,0.946667,0.895556,0.843333
