,lind_id,0:00,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45
0,,31.9765,31.9765,31.9765,31.9765,31.9765,31.9765,31.9765,31.9765,31.9765,31.9765,31.9765,31.9765,31.9765,31.9765,31.9765,31.9765,31.9765,31.9765,31.9765,31.9765,31.9765,31.9765,31.9765,31.9765,31.9765,31.9765,31.9636,31.9765,31.8817,31.9765,31.9765,31.9765,31.9293,31.939,31.9765,31.936,31.9765,31.9765,31.9765,31.9742,31.9765,31.9765,31.9765,31.8814,31.9765,31.9765,31.9765,31.9765,31.9765,31.9765,31.8815,31.9765,31.9765,31.8812,31.9063,31.9765,31.9765,31.9765,31.8639,31.948,31.9765,31.8946,31.9765,31.9765,31.9765,31.9765,31.9765,31.9765,31.846,31.9765,31.9765,31.9765,31.9765,31.9765,31.9765,31.9765,31.9765,31.9765,31.9765,31.9765,31.9765,31.9765,31.9765,31.9765,31.9765,31.9765,31.9765,31.9765,31.9765,31.9765,31.9765,31.9765,31.9765,31.9765,31.9765,31.9765
1,,31.9444,31.9647,31.9647,31.9647,31.9647,31.9444,31.9647,31.9647,31.9647,31.9647,31.9444,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.875,31.9647,31.9578,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9591,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647,31.9647
2,,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9559,31.9631,31.941,31.9321,31.933,31.9227,31.9316,31.9258,31.9503,31.9645,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653,31.9653
3,,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9421,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9575,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625,31.9625
4,,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962,31.962
5,,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9624,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9575,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9326,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9629,31.9076,31.9629,31.9629
6,,31.9618,31.9618,31.9618,31.9618,31.9618,31.9444,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9444,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618,31.9618
7,,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9604,31.9138,31.9284,31.9274,31.9243,31.9596,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9545,31.9573,31.9633,31.9531,31.9609,31.9319,31.9351,31.9283,31.921,31.9175,31.945,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633,31.9633
8,,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9387,31.9217,31.9332,31.9329,31.9308,31.9642,31.9553,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9617,31.9642,31.9641,31.9642,31.9478,31.9225,31.9268,31.9268,31.9186,31.9139,31.9277,31.9139,31.947,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642,31.9642
9,,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588,31.9588
