LINK_,ST_NAME,REF_IN_ID,NREF_IN_ID,FUNC_CLASS,DIR_TRAVEL,NUM_PHYS_LANES,SPEED_KPH,LENGTH(meters),CAPACITY(veh/hour),RAMP
Redacted,Redacted,Redacted,Redacted,5,F,1,40,200.5786582,1000,N
Redacted,Redacted,Redacted,Redacted,5,F,1,40,169.9976297,1000,N
Redacted,Redacted,Redacted,Redacted,5,F,1,40,75.87716028,1000,N
Redacted,Redacted,Redacted,Redacted,5,F,1,40,76.82893886,1000,N
Redacted,Redacted,Redacted,Redacted,5,F,1,40,519.6448356,1000,N
Redacted,Redacted,Redacted,Redacted,5,F,1,40,52.1540761,1000,N
Redacted,Redacted,Redacted,Redacted,5,F,1,40,85.28421643,1000,N
Redacted,Redacted,Redacted,Redacted,5,F,1,40,258.9071623,1000,N
Redacted,Redacted,Redacted,Redacted,5,F,1,40,94.12951052,1000,N
Redacted,Redacted,Redacted,Redacted,5,F,1,40,40.10239865,1000,N
Redacted,Redacted,Redacted,Redacted,5,F,1,40,25.62616471,1000,N
Redacted,Redacted,Redacted,Redacted,5,F,1,40,51.58204243,1000,N
Redacted,Redacted,Redacted,Redacted,5,F,1,40,6.154320837,1000,N
Redacted,Redacted,Redacted,Redacted,5,F,1,40,150.9743875,1000,N
Redacted,Redacted,Redacted,Redacted,5,F,1,40,98.03332755,1000,N
Redacted,Redacted,Redacted,Redacted,5,F,1,40,82.58842869,1000,N
Redacted,Redacted,Redacted,Redacted,5,F,1,40,173.705516,1000,N
Redacted,Redacted,Redacted,Redacted,5,F,1,40,162.9099826,1000,N
Redacted,Redacted,Redacted,Redacted,5,F,1,40,159.6332095,1000,N
Redacted,Redacted,Redacted,Redacted,5,F,1,40,46.04317189,1000,N
Redacted,Redacted,Redacted,Redacted,5,F,1,40,66.00538352,1000,N
Redacted,Redacted,Redacted,Redacted,5,F,1,20,100.6724594,600,N
Redacted,Redacted,Redacted,Redacted,5,F,1,20,121.8388705,600,N
Redacted,Redacted,Redacted,Redacted,5,F,1,40,25.36060787,1000,N
Redacted,Redacted,Redacted,Redacted,5,F,1,40,90.5728305,1000,N
Redacted,Redacted,Redacted,Redacted,5,F,1,40,91.41066019,1000,N
Redacted,Redacted,Redacted,Redacted,5,F,1,40,314.8180078,1000,N
Redacted,Redacted,Redacted,Redacted,5,F,1,40,20.13380277,1000,N
Redacted,Redacted,Redacted,Redacted,5,F,1,40,99.77871803,1000,N
Redacted,Redacted,Redacted,Redacted,5,F,1,40,102.8041173,1000,N
Redacted,Redacted,Redacted,Redacted,5,F,1,40,257.0054022,1000,N
Redacted,Redacted,Redacted,Redacted,5,F,1,40,48.33200446,1000,N
Redacted,Redacted,Redacted,Redacted,5,F,1,40,97.6885258,1000,N
Redacted,Redacted,Redacted,Redacted,5,F,1,40,78.48071358,1000,N
Redacted,Redacted,Redacted,Redacted,5,F,1,40,93.27058727,1000,N
Redacted,Redacted,Redacted,Redacted,5,F,1,40,44.8860572,1000,N
