NODE_ID,geometry,LON,LAT,geom
,POINT (-122.42562 37.61791),,,POINT (-122.42562 37.61790999999999)
,POINT (-122.42776 37.6181),,,POINT (-122.42776 37.6181)
,POINT (-122.42965 37.61779),,,POINT (-122.42965 37.61779)
,POINT (-122.43051 37.61775),,,POINT (-122.43051 37.61775)
,POINT (-122.43138 37.6177),,,POINT (-122.43138 37.6177)
,POINT (-122.43539 37.61863),,,POINT (-122.43539 37.61863)
,POINT (-122.2139 37.42808),,,POINT (-122.2139 37.42808)
,POINT (-122.21332 37.42815),,,POINT (-122.21332 37.42815)
,POINT (-122.21345 37.42891),,,POINT (-122.21345 37.42890999999999)
,POINT (-122.42764 37.73968),,,POINT (-122.42764 37.73968)
,POINT (-122.42789 37.742),,,POINT (-122.42789 37.742)
,POINT (-122.42743 37.73886),,,POINT (-122.42743 37.73886)
,POINT (-122.42778 37.73966),,,POINT (-122.42778 37.73966)
,POINT (-122.3847 37.73374),,,POINT (-122.3847 37.73374)
,POINT (-122.38481 37.73409),,,POINT (-122.38481 37.73409)
,POINT (-122.4479 37.70949),,,POINT (-122.4479 37.70949)
,POINT (-122.44802 37.7097),,,POINT (-122.44802 37.7097)
,POINT (-122.44768 37.70906),,,POINT (-122.44768 37.70906)
,POINT (-122.44724 37.70824),,,POINT (-122.44724 37.70824)
,POINT (-122.44727 37.70829),,,POINT (-122.44727 37.70829000000001)
,POINT (-122.44635 37.70659),,,POINT (-122.44635 37.70659000000001)
,POINT (-122.44702 37.70784),,,POINT (-122.44702 37.70784)
,POINT (-122.44591 37.70578),,,POINT (-122.44591 37.70578)
,POINT (-122.33693 37.56377),,,POINT (-122.33693 37.56377)
,POINT (-122.33766 37.56422),,,POINT (-122.33766 37.56422)
,POINT (-122.26276 37.56725),,,POINT (-122.26276 37.56725)
,POINT (-122.26452 37.56786),,,POINT (-122.26452 37.56786)
,POINT (-122.26097 37.5669),,,POINT (-122.26097 37.5669)
,POINT (-122.51342 37.52749),,,POINT (-122.51342 37.52749)
,POINT (-122.51504 37.52811),,,POINT (-122.51504 37.52811)
,POINT (-122.51549 37.52832),,,POINT (-122.51549 37.52832)
,POINT (-122.51615 37.5286),,,POINT (-122.51615 37.5286)
,POINT (-122.20497 37.46568),,,POINT (-122.20497 37.46568)
,POINT (-122.20437 37.46645),,,POINT (-122.20437 37.46645)
,POINT (-122.20364 37.46738),,,POINT (-122.20364 37.46738)
,POINT (-122.40012 37.71656),,,POINT (-122.40012 37.71656)
,POINT (-122.39985 37.71664),,,POINT (-122.39985 37.71664000000001)
,POINT (-122.4011 37.71631),,,POINT (-122.4011 37.71631)
,POINT (-122.40209 37.71606),,,POINT (-122.40209 37.71606)
,POINT (-122.40531 37.71728),,,POINT (-122.40531 37.71728)
,POINT (-122.40725 37.71782),,,POINT (-122.40725 37.71782)
,POINT (-122.40747 37.71787),,,POINT (-122.40747 37.71787)
,POINT (-122.43283 37.73404),,,POINT (-122.43283 37.73404)
,POINT (-122.43393 37.73426),,,POINT (-122.43393 37.73426)
,POINT (-122.26137 37.49092),,,POINT (-122.26137 37.49092)
,POINT (-122.26027 37.49122),,,POINT (-122.26027 37.49122)
,POINT (-122.2622 37.48879),,,POINT (-122.2622 37.48879)
,POINT (-122.26228 37.48836),,,POINT (-122.26228 37.48836)
,POINT (-122.48662 37.69592),,,POINT (-122.48662 37.69592)
,POINT (-122.48551 37.69594),,,POINT (-122.48551 37.69594)
,POINT (-122.48751 37.69593),,,POINT (-122.48751 37.69593)
,POINT (-122.48857 37.69594),,,POINT (-122.48857 37.69594)
,POINT (-122.48908 37.69593),,,POINT (-122.48908 37.69593)
,POINT (-122.48956 37.69593),,,POINT (-122.48956 37.69593)
,POINT (-122.49122 37.69594),,,POINT (-122.49122 37.69594)
,POINT (-122.49219 37.69594),,,POINT (-122.49219 37.69594)
,POINT (-122.49306 37.69595),,,POINT (-122.49306 37.69595)
,POINT (-122.49393 37.69594),,,POINT (-122.49393 37.69594)
,POINT (-122.48752 37.69538),,,POINT (-122.48752 37.69538)
,POINT (-122.33851 37.54944),,,POINT (-122.33851 37.54944)
,POINT (-122.33915 37.54964),,,POINT (-122.33915 37.54964)
,POINT (-122.4294 37.63992),,,POINT (-122.4294 37.63992)
,POINT (-122.42779 37.6407),,,POINT (-122.42779 37.6407)
,POINT (-122.43039 37.63945),,,POINT (-122.43039 37.63945)
,POINT (-122.4312 37.63906),,,POINT (-122.4312 37.63906)
,POINT (-122.43191 37.63873),,,POINT (-122.43191 37.63873)
,POINT (-122.43282 37.63829),,,POINT (-122.43282 37.63829)
,POINT (-122.43536 37.63697),,,POINT (-122.43536 37.63697)
,POINT (-122.45655 37.72758),,,POINT (-122.45655 37.72758)
,POINT (-122.45608 37.72759),,,POINT (-122.45608 37.72759)
